id,producto_base,foto_principal,fotos_adicionales,image_link,additional_image_link,title,description,price,link,brand,availability,condition
018,37,37.jpg,"37.1.jpg, 37.2.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",,,,,Forza WorkGear,in stock,new
019,38,38.1.jpg,38.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/38.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/38.2.jpg,,,,,Forza WorkGear,in stock,new
020,42,42.jpg,42.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/42.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/42.1.jpg,,,,,Forza WorkGear,in stock,new
021,43,43.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/43.jpg,,,,,,Forza WorkGear,in stock,new
022,45,45.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/45.jpg,,,,,,Forza WorkGear,in stock,new
023,46,46.jpg,"46.1.jpg, 46.2.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/46.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/46.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/46.2.jpg",,,,,Forza WorkGear,in stock,new
024,47,47.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/47.jpg,,,,,,Forza WorkGear,in stock,new
025,55,55.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/55.jpg,,,,,,Forza WorkGear,in stock,new
026,59,59.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/59.jpg,,,,,,Forza WorkGear,in stock,new
027,61,61.jpg,"61.1.jpg, 61.2.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/61.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/61.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/61.2.jpg",,,,,Forza WorkGear,in stock,new
028,68,68.jpg,"68.1.jpg, 68.2.jpg, 68.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/68.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/68.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/68.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/68.3.jpg",,,,,Forza WorkGear,in stock,new
029,79,79.jpg,79.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/79.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/79.1.jpg,,,,,Forza WorkGear,in stock,new
030,81,81.jpg,"81.1.jpg, 81.2.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/81.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/81.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/81.2.jpg",,,,,Forza WorkGear,in stock,new
031,87,87.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/87.jpg,,,,,,Forza WorkGear,in stock,new
032,90,90.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/90.jpg,,,,,,Forza WorkGear,in stock,new
033,91,91.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/91.jpg,,,,,,Forza WorkGear,in stock,new
034,92,92.jpg,"92.1.jpg, 92.2.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/92.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/92.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/92.2.jpg",,,,,Forza WorkGear,in stock,new
